date,token_name,shannon_entropy,log_diff_entropy,open,high,low,close,dai_events_negative,dai_events_positive,lunaterra_events_negative,lunaterra_events_positive,unknown_events_negative,unknown_events_positive,usdc_events_negative,usdc_events_positive,usdt_events_negative,usdt_events_positive,ustc_events_negative,ustc_events_positive,log_return,close_lag1d,close_lag7d,close_lag30d,volatility_3d,volatility_7d,volatility_30d,peg_deviation,abs_peg_deviation,ma_7d,ma_14d,ma_30d,dist_from_ma_7d,dist_from_ma_14d,dist_from_ma_30d,intraday_range,ema_7d,ema_14d,ema_30d,rsi_14d,bb,bb_up,bb_dn,bb_pctb,dist_from_lower_band,pct_open_1d,pct_high_1d,pct_low_1d,pct_open_3d,pct_high_3d,pct_low_3d,pct_close_3d,pct_open_7d,pct_high_7d,pct_low_7d,pct_close_7d,pct_open_30d,pct_high_30d,pct_low_30d,pct_close_30d,gini_coefficient,log_diff_gini,total_inflow,total_outflow,net_swap_flow,n_transactions,log_diff_net_flow,order_imbalance,pin_7d,log_diff_pin,shark_volume,total_volume,shark_volume_pct,n_shark_trades,log_diff_shark_pct,markout_1d,markout_3d,markout_7d,markout_14d,markout_30d,DAI_open,DAI_high,DAI_low,DAI_close,PAX_open,PAX_high,PAX_low,PAX_close,USDC_open,USDC_high,USDC_low,USDC_close,USDT_open,USDT_high,USDT_low,USDT_close,UST_open,UST_high,UST_low,UST_close,WLUNA_open,WLUNA_high,WLUNA_low,WLUNA_close
2022-04-01T00:00:00Z,DAI,8.148217615356877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9161854086457666,NA,460948173.1155492,514198653.94536203,-53250480.829812825,5576,NA,3.586800573888092e-4,NA,NA,499901320.68249846,528224719.97831005,0.9463800192899442,4230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-01T00:00:00Z,PAX,3.6791266275218004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9197088173296502,NA,68182571.76860961,45742818.0286096,22439753.74000001,191,NA,0.02617801047120419,NA,NA,67787974.95086539,68182571.76860961,0.9942126439717855,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-01T00:00:00Z,USDC,10.055545823855207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9496142037628055,NA,5763717118.643363,5567480895.783366,196236222.8599968,37419,NA,2.6724391351986957e-5,NA,NA,5339388403.601478,5998725801.233363,0.8900870919126987,27379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-01T00:00:00Z,USDT,9.887046275998165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9539133518229725,NA,3112888114.395489,3112888114.395489,0,50507,NA,5.939770724850021e-5,NA,NA,2926581214.468752,3112888114.395489,0.9401498245101825,37851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-01T00:00:00Z,UST,6.688080452539783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8948017449049483,NA,318953494.92144686,354820676.1610209,-35867181.239574015,1510,NA,0.006622516556291391,NA,NA,340154763.1811592,363326573.51575315,0.9362231886581528,1099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-01T00:00:00Z,WLUNA,4.902875640118572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9025337833586435,NA,196752.75854658376,199659.85864958377,-2907.1001030000043,241,NA,0.004149377593360996,NA,NA,105676.74953377666,201051.44917958378,0.5256204318098884,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-02T00:00:00Z,DAI,7.760839689193111,0.6690893830047216,0.9999,1,0.9989,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0.00109999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93777250133664,0.7048592882161536,1111399966.117349,1220154511.9270737,-108754545.80972481,9185,1.1126205165669882,1.0887316276537834e-4,NA,NA,1112954010.7435555,1253613908.271087,0.8877964765710669,6920,0.6617066835506867,-0.0010005003335835344,-1.0000500033334732e-4,-6.001800720324606e-4,0,0,NA,NA,NA,NA,1,1,0.9962,1,0.9995,1,0.999,0.9999,1,1,1,1,1,1,0.9989,1,103.23,107.28,100.03,105.87
2022-04-02T00:00:00Z,PAX,5.082249996594139,0.8676776469374213,1,1,0.9962,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0.00380000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8080400454489758,0.6305174877189218,11382782.415832754,11382782.415832754,0,167,0,0.005988023952095809,NA,NA,9520223.733307643,11382782.415832754,0.8363705274789048,124,0.6104387566795606,0,0,0,0,0.009950330853168092,0.9999,1,0.9989,1,NA,NA,NA,NA,0.9995,1,0.999,0.9999,1,1,1,1,1,1,0.9989,1,103.23,107.28,100.03,105.87
2022-04-02T00:00:00Z,USDC,11.12298920678227,0.7448638646244294,0.9995,1,0.999,0.9999,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,-9.9999999999989e-5,9.9999999999989e-5,NA,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.929717260370424,0.6826155875865699,4866956601.901206,4909063615.731203,-42107013.82999706,54685,0.19439265259680882,1.8286550242296792e-5,NA,NA,4769046625.135933,4982640292.461196,0.9571324328492199,38855,0.7301175138872318,-6.002401140600914e-4,1.0000500033327544e-4,-2.0004000866861237e-4,-1.0001500233373653e-4,1.0000500033327544e-4,0.9999,1,0.9989,1,1,1,0.9962,1,NA,NA,NA,NA,1,1,1,1,1,1,0.9989,1,103.23,107.28,100.03,105.87
2022-04-02T00:00:00Z,USDT,11.531056474383494,0.7730110439583078,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9321795531640653,0.6816898811706535,3006959536.630897,3006959536.8627653,-0.23186826705932617,78012,0.20853193330611705,0,NA,NA,2772100537.965589,3006959536.8627653,0.9218948589038181,53401,0.683391204746176,0,0,0,0,0,0.9999,1,0.9989,1,1,1,0.9962,1,0.9995,1,0.999,0.9999,NA,NA,NA,NA,1,1,0.9989,1,103.23,107.28,100.03,105.87
